slurp_id,file_id,scenario
9024,audio-1501754435.flac,calendar
9024,audio-1501407267-headset.flac,calendar
9024,audio-1501407267.flac,calendar
9024,audio-1501771798-headset.flac,calendar
9024,audio-1501771798.flac,calendar
9024,audio-1490705711-headset.flac,calendar
9024,audio-1490705711.flac,calendar
9024,audio-1494416970-headset.flac,calendar
9024,audio-1494416970.flac,calendar
7874,audio-1498578293.flac,calendar
7874,audio-1490262086-headset.flac,calendar
7874,audio-1490262086.flac,calendar
7874,audio-1498485578-headset.flac,calendar
7874,audio-1498485578.flac,calendar
7874,audio-1490367540-headset.flac,calendar
7874,audio-1490367540.flac,calendar
5822,audio-1490183568-headset.flac,audio
5822,audio-1490183568.flac,audio
5822,audio--1504191186-headset.flac,audio
5822,audio--1504191186.flac,audio
5822,audio--1506079649-headset.flac,audio
5822,audio--1506079649.flac,audio
3033,audio-1501754622.flac,weather
5148,audio-1497872350-headset.flac,audio
5148,audio-1497872350.flac,audio
5148,audio-1501752623.flac,audio
5148,audio-1501753732-headset.flac,audio
5148,audio-1501753732.flac,audio
5148,audio--1504192961-headset.flac,audio
5148,audio--1504192961.flac,audio
5148,audio-1434541462-headset.flac,audio
5148,audio-1434541462.flac,audio
11236,audio-1498576919.flac,lists
11236,audio-1490203633-headset.flac,lists
11236,audio-1490203633.flac,lists
11236,audio-1502896614-headset.flac,lists
11236,audio-1502896614.flac,lists
16742,audio-1498570131-headset.flac,email
16742,audio-1498570131.flac,email
5172,audio-1497886326-headset.flac,alarm
5172,audio-1497886326.flac,alarm
5172,audio--1504192391-headset.flac,alarm
5172,audio--1504192391.flac,alarm
5172,audio--1505407024-headset.flac,alarm
5172,audio--1505407024.flac,alarm
5172,audio--1505407227-headset.flac,alarm
5172,audio--1505407227.flac,alarm
5172,audio-1490367828-headset.flac,alarm
5172,audio-1490367828.flac,alarm
6951,audio-1490103994-headset.flac,calendar
6951,audio-1490103994.flac,calendar
6951,audio-1497872202-headset.flac,calendar
6951,audio-1497872202.flac,calendar
6951,audio-1490109486-headset.flac,calendar
6951,audio-1490109486.flac,calendar
6951,audio-1490357221-headset.flac,calendar
6951,audio-1490357221.flac,calendar
6951,audio-1488984918.flac,calendar
5311,audio-1490194280-headset.flac,play
5311,audio-1490194280.flac,play
5311,audio-1490264394-headset.flac,play
5311,audio-1490264394.flac,play
11917,audio-1498563809-headset.flac,recommendation
11917,audio-1498563809.flac,recommendation
11917,audio-1501688214-headset.flac,recommendation
11917,audio-1501688214.flac,recommendation
11917,audio-1501768269-headset.flac,recommendation
11917,audio-1501768269.flac,recommendation
701,audio-1490261715-headset.flac,weather
701,audio-1490261715.flac,weather
701,audio-1495369284-headset.flac,weather
701,audio-1495369284.flac,weather
7619,audio-1500387231-headset.flac,calendar
7619,audio-1500387231.flac,calendar
7619,audio-1497494929.flac,calendar
4200,audio-1498569479-headset.flac,alarm
4200,audio-1498569479.flac,alarm
4200,audio--1504192683-headset.flac,alarm
4200,audio--1504192683.flac,alarm
11461,audio-1502890200-headset.flac,play
11461,audio-1502890200.flac,play
11461,audio-1502377748-headset.flac,play
11461,audio-1502377748.flac,play
7790,audio-1492779894-headset.flac,calendar
7790,audio-1492779894.flac,calendar
15204,audio-1490800766-headset.flac,social
15204,audio-1490800766.flac,social
15204,audio-1497860824-headset.flac,social
15204,audio-1497860824.flac,social
15204,audio-1497885641-headset.flac,social
15204,audio-1497885641.flac,social
15204,audio-1497436983-headset.flac,social
15204,audio-1497436983.flac,social
11884,audio-1501756137.flac,recommendation
11884,audio-1488986409.flac,recommendation
6003,audio-1497030361-headset.flac,weather
6003,audio-1497030361.flac,weather
4952,audio-1497438842-headset.flac,news
4952,audio-1497438842.flac,news
4952,audio-1501697900-headset.flac,news
13745,audio-1434544410.flac,general
13745,audio-1492780704-headset.flac,general
13745,audio-1492780704.flac,general
1670,audio-1502197319-headset.flac,news
1670,audio-1502197319.flac,news
14256,audio-1497366439.flac,qa
3249,audio--1504195064-headset.flac,alarm
3249,audio--1504195064.flac,alarm
7452,audio-1501758737-headset.flac,calendar
7452,audio-1501758737.flac,calendar
7452,audio-1434530996-headset.flac,calendar
7452,audio-1434539396-headset.flac,calendar
7452,audio-1434539396.flac,calendar
7452,audio-1494417349.flac,calendar
7452,audio-1495369449-headset.flac,calendar
7452,audio-1495369449.flac,calendar
15817,audio-1501687350-headset.flac,email
15817,audio-1501687350.flac,email
15817,audio-1502890246-headset.flac,email
83,audio-1490182114-headset.flac,iot
83,audio-1490182114.flac,iot
83,audio-1497865017-headset.flac,iot
83,audio-1497865017.flac,iot
83,audio-1502198033-headset.flac,iot
83,audio-1494418296-headset.flac,iot
83,audio-1494418296.flac,iot
6197,audio-1490288569-headset.flac,general
6197,audio-1497880084-headset.flac,general
6197,audio-1497880084.flac,general
6197,audio-1490006844-headset.flac,general
6197,audio-1490006844.flac,general
